Anos,Cost
2020,50.0
2020,29.75
2020,65.0
2020,145.0
2020,64.68
2020,48.5
2020,50.0
2020,90.0
2020,46.0
2020,28.3
2020,29.15
2020,29.75
2020,7.5
2020,64.68
2020,50.0
2020,29.15
2020,29.75
2020,50.0
2020,7.5
2020,30.8
2020,50.0
2020,29.75
2020,50.0
2020,5.3
2020,12.0
2020,112.5
2020,120.0
2020,48.5
2020,50.0
2020,29.15
2020,48.5
2020,153.0
2020,30.8
2020,48.5
2020,50.0
2020,29.15
2020,50.0
2020,48.5
2020,29.75
2020,200.0
2020,50.0
2020,85.0
2020,115.0
2020,90.0
2020,48.5
2020,7.5
2020,50.0
2020,50.0
2020,200.0
2020,29.75
2020,29.15
2020,50.0
2019,41.8
2019,65.0
2019,64.68
2019,50.0
2019,21.0
2019,48.5
2019,48.5
2019,7.5
2019,50.0
2019,64.68
2019,31.0
2019,200.0
2019,50.0
2019,29.15
2019,64.68
2019,85.0
2019,29.15
2019,7.5
2019,40.0
2019,65.0
2019,64.68
2019,48.5
2019,29.75
2019,112.5
2019,5.3
2019,64.68
2019,41.8
2019,164.0
2019,48.5
2019,7.5
2019,29.15
2019,7.5
2019,153.0
2019,50.0
2019,200.0
2019,65.0
2019,48.5
2019,48.5
2019,30.8
2019,50.0
2019,62.0
2019,65.0
2019,37.0
2019,7.5
2019,90.0
2019,29.15
2019,200.0
2019,50.0
2019,5.3
2019,65.0
2019,50.0
2019,64.68
2019,21.0
2019,7.5
2019,50.0
2019,64.68
2019,29.15
2019,85.0
2019,90.0
2019,48.5
2019,21.0
2019,29.15
2019,7.5
2019,37.0
2019,29.15
2019,50.0
2019,50.0
2019,200.0
2019,5.3
2019,350.0
2019,39.0
2019,50.0
2019,29.15
2018,48.5
2018,50.0
2018,5.3
2018,65.0
2018,47.0
2018,7.5
2018,29.15
2018,29.75
2018,50.0
2018,200.0
2018,50.0
2018,41.8
2018,21.0
2018,37.0
2018,29.75
2018,85.0
2018,50.0
2018,62.0
2018,7.5
2018,48.5
2018,29.15
2018,90.0
2018,30.8
2018,35.0
2018,64.68
2018,200.0
2018,153.0
2018,30.8
2018,50.0
2018,200.0
2018,112.5
2018,21.0
2018,50.0
2018,30.8
2018,37.0
2018,350.0
2018,50.0
2018,64.68
2018,50.0
2018,50.0
2018,48.5
2018,69.7
2018,30.8
2018,62.0
2018,30.8
2018,90.0
2018,69.7
2018,62.0
2018,29.75
2018,62.0
2018,85.0
2018,64.68
2018,50.0
2018,64.68
2018,109.0
2018,29.15
2018,5.3
2018,41.8
2018,62.0
2018,65.0
2018,153.0
2018,31.0
2018,64.68
2018,200.0
2018,62.0
2018,64.68
2018,62.0
2018,47.0
2018,29.75
2018,62.0
2018,145.0
2018,90.0
2018,62.0
2018,48.5
2018,90.0
2018,29.75
2018,48.5
2018,62.0
2018,200.0
2018,30.8
2018,7.5
2018,115.0
2018,5.3
2018,39.0
2018,29.75
2018,31.0
2018,29.75
2018,62.0
2017,30.8
2017,29.75
2017,62.0
2017,90.0
2017,62.0
2017,29.15
2017,29.75
2017,35.0
2017,30.8
2017,64.68
2017,85.0
2017,37.0
2017,45.0
2017,62.0
2017,123.0
2017,48.5
2017,41.8
2017,62.0
2017,90.0
2017,62.0
2017,29.75
2017,200.0
2017,30.8
2017,65.0
2017,145.0
2017,65.0
2017,62.0
2017,31.0
2017,46.0
2017,62.0
2017,109.0
2017,65.0
2017,62.0
2017,37.0
2017,48.5
2017,62.0
2017,200.0
2017,62.0
2017,62.0
2017,31.0
2017,29.15
2017,64.68
2017,48.5
2017,65.0
2017,62.0
2017,62.0
2017,200.0
2017,90.0
2017,7.5
2017,62.0
2017,47.0
2017,200.0
2017,62.0
2017,109.0
2017,29.15
2017,62.0
2017,90.0
2017,62.0
2017,37.0
2017,109.0
2017,62.0
2017,31.0
2017,200.0
2017,109.0
2017,62.0
2017,29.15
2016,29.75
2016,200.0
2016,29.75
2016,130.0
2016,40.0
2016,29.15
2016,112.5
2016,31.0
2016,37.0
2016,145.0
2016,29.75
2016,109.0
2016,5.3
2016,90.0
2016,85.0
2016,200.0
2016,25.0
2016,37.0
2016,115.0
2016,47.0
2016,62.0
2016,64.68
2016,200.0
2016,164.0
2016,29.75
2016,62.0
2016,64.68
2016,29.15
2016,123.0
2016,62.0
2016,64.68
2016,153.0
2016,31.0
2016,200.0
2016,62.0
2016,350.0
2016,65.0
2016,41.8
2016,64.68
2016,48.5
2016,62.0
2016,29.75
2016,62.0
2016,31.0
2016,62.0
2016,29.75
2016,48.5
2016,69.7
2016,48.5
2016,109.0
2016,65.0
2016,35.0
2016,31.0
2016,200.0
2016,62.0
2016,90.0
2016,41.8
2016,48.5
2016,109.0
2016,65.0
2016,200.0
2016,31.0
2016,56.5
2016,29.15
2015,62.0
2015,21.0
2015,109.0
2015,37.0
2015,200.0
2015,15.0
2015,109.0
2015,109.0
2015,123.0
2015,200.0
2015,31.0
2015,5.3
2015,41.8
2015,153.0
2015,47.0
2015,200.0
2015,112.5
2015,200.0
2015,109.0
2015,31.0
2015,56.5
2015,37.0
